"observation.id","group_sex","first.five.activity","group_size"
1061,"All Male","Forage",1
1062,"All Male","Travel",2
1063,"All Female","Rest",2
1064,"All Female","Forage",1
1065,"Mixed","Travel",2
1066,"All Male","Travel",1
1067,"All Female","Forage",1
1068,"Mixed","Rest",3
1069,"All Female","Forage",2
1070,"All Male","Forage",1
1071,"All Male","Travel",1
1072,"All Female","Forage",1
1073,"All Male","Travel",2
1074,"All Female","Forage",1
1075,"All Female","Forage",1
1076,"All Female","Rest",1
1077,"All Female","Travel",1
1078,"All Male","Travel",1
1079,"All Male","Rest",1
1080,"Mixed","Rest",2
1081,"All Female","Forage",1
1082,"All Male","Rest",1
1083,"All Male","Forage",1
1084,"All Female","Forage",1
1085,"All Male","Travel",1
1086,"All Female","Rest",1
1087,"All Female","Forage",1
1088,"All Male","Travel",1
1089,"All Female","Travel",1
1090,"All Female","Forage",1
1091,"Mixed","Forage",2
1092,"All Female","Forage",1
1093,"All Female","Forage",1
1094,"All Female","Travel",1
1095,"All Female","Forage",1
1096,"All Female","Forage",1
1097,"All Female","Forage",1
1098,"All Female","Forage",1
1099,"All Female","Forage",1
1100,"All Female","Forage",1
1101,"All Female","Forage",1
1102,"Mixed","Forage",1
1103,"All Female","Forage",1
1104,"All Female","Forage",1
1105,"All Female","Forage",1
1106,"Mixed","Forage",1
1107,"All Male","Forage",1
1108,"All Male","Forage",1
1109,"All Female","Forage",1
1110,"All Female","Travel",1
1111,"All Female","Forage",1
1112,"All Female","Forage",2
1113,"All Female","Other",1
1114,"Mixed","Social",3
1115,"All Female","Travel",1
1116,"All Male","Forage",1
1117,"Mixed","Forage",1
1118,"All Male","Forage",1
1119,"All Female","Forage",1
1120,"All Male","Forage",1
1121,"All Male","Forage",1
1122,"All Female","Forage",1
1123,"Mixed","Forage",2
1124,"All Female","Forage",1
1125,"Mixed","Forage",2
1126,"All Female","Rest",1
1127,"All Female","Forage",1
1128,"All Female","Forage",2
1129,"All Female","Forage",2
1130,"All Male","Travel",1
1131,"All Female","Rest",1
1132,"All Female","Forage",1
1133,"All Female","Rest",1
1134,"All Male","Forage",1
1135,"All Male","Forage",1
1136,"All Male","Forage",1
1137,"All Female","Rest",2
1138,"All Female","Forage",1
1139,"All Female","Forage",1
1140,"All Female","Forage",1
1141,"All Female","Forage",1
1142,"All Female","Travel",1
1143,"Mixed","Forage",1
1144,"All Male","Forage",1
1145,"All Male","Forage",1
1146,"All Female","Rest",1
1147,"All Female","Forage",1
1148,"All Female","Forage",1
1149,"All Female","Forage",1
1150,"All Female","Travel",2
1151,"All Female","Forage",1
1152,"All Female","Forage",1
1153,"All Male","Forage",1
1154,"All Male","Forage",1
1155,"All Female","Forage",1
1156,"All Female","Forage",1
1157,"All Male","Rest",1
1158,"Mixed","Forage",1
1159,"All Female","Forage",1
1160,"All Female","Forage",1
1161,"All Male","Travel",1
1162,"All Female","Forage",1
1163,"All Male","Travel",1
1164,"All Female","Forage",1
1165,"Mixed","Forage",1
1166,"All Male","Forage",1
1167,"All Male","Forage",1
1168,"All Female","Forage",1
1169,"All Male","Travel",1
1170,"All Male","Forage",1
1171,"All Female","Forage",1
1172,"All Female","Forage",1
1173,"All Male","Rest",1
1174,"All Female","Rest",1
1175,"All Female","Forage",1
1176,"All Male","Forage",1
1177,"All Female","Forage",1
1178,"All Female","Rest",1
1179,"All Female","Forage",1
1180,"All Female","Rest",1
1181,"All Female","Rest",1
1182,"All Male","Travel",1
1183,"All Female","Forage",1
1184,"All Male","Travel",1
1185,"All Female","Rest",1
1186,"All Male","Travel",1
1187,"Mixed","Forage",2
1188,"All Female","Forage",1
1189,"All Male","Forage",1
1190,"Mixed","Forage",1
1191,"All Female","Travel",2
1192,"All Male","Travel",1
1193,"All Female","Forage",1
1194,"All Male","Forage",1
1195,"All Male","Forage",1
1196,"All Female","Forage",1
1197,"All Male","Forage",1
1198,"All Male","Rest",1
1199,"Mixed","Travel",3
1200,"All Female","Forage",1
1201,"All Female","Rest",1
1202,"All Female","Rest",1
1203,"All Female","Forage",1
1204,"All Male","Forage",1
1205,"Mixed","Forage",3
1206,"All Male","Forage",1
1207,"All Female","Rest",1
1208,"All Male","Travel",1
1209,"Mixed","Rest",3
1210,"All Male","Forage",1
1211,"All Male","Forage",2
1212,"All Female","Forage",1
1213,"All Male","Forage",1
1214,"All Female","Forage",1
1215,"All Female","Forage",1
1216,"All Male","Forage",1
1217,"All Male","Forage",2
1218,"All Female","Forage",1
1219,"Mixed","Travel",3
1220,"Mixed","Travel",4
1221,"All Male","Forage",1
1222,"All Female","Forage",1
1223,"Mixed","Rest",4
1224,"All Female","Forage",1
1225,"All Female","Forage",1
1226,"All Male","Forage",1
1227,"All Female","Forage",1
1228,"All Female","Rest",2
1229,"All Female","Forage",2
1230,"Mixed","Forage",1
1231,"All Female","Travel",1
1232,"All Male","Forage",1
1233,"All Female","Forage",2
1234,"All Female","Forage",1
1235,"All Male","Travel",1
1236,"All Female","Forage",1
1237,"All Female","Rest",3
1238,"All Male","Forage",1
1239,"All Female","Forage",1
1240,"All Female","Forage",1
1241,"All Male","Travel",1
1242,"All Female","Forage",1
1243,"All Female","Forage",1
1244,"All Female","Forage",1
1245,"All Male","Forage",1
1246,"Mixed","Forage",2
1247,"All Female","Forage",1
1248,"All Female","Forage",1
1249,"All Female","Rest",2
1250,"Mixed","Rest",2
1251,"All Male","Forage",2
1252,"All Female","Forage",1
1253,"All Female","Travel",2
1254,"All Female","Forage",2
1255,"All Male","Rest",3
1256,"All Male","Forage",1
1257,"All Female","Forage",1
1258,"Mixed","Forage",3
1259,"All Female","Forage",1
1260,"All Female","Rest",1
1261,"All Female","Forage",1
1262,"All Male","Forage",1
1263,"All Male","Forage",1
1264,"All Female","Rest",1
1265,"All Female","Forage",1
1266,"Mixed","Forage",3
1267,"All Female","Travel",1
1268,"All Male","Rest",1
1269,"All Female","Forage",1
1270,"All Female","Forage",1
1271,"All Female","Forage",1
1272,"All Male","Forage",1
1273,"All Female","Rest",2
1274,"All Male","Forage",1
1275,"All Female","Forage",1
1276,"All Female","Forage",1
1277,"All Female","Forage",1
1278,"All Female","Forage",1
1279,"All Male","Forage",1
1280,"Mixed","Social",3
1281,"All Female","Other",1
1282,"All Female","Forage",1
1283,"All Male","Rest",2
1284,"All Male","Forage",1
1285,"All Male","Forage",1
1286,"All Male","Forage",1
1287,"All Female","Forage",1
1288,"All Female","Forage",1
1289,"All Female","Travel",1
1290,"All Female","Forage",1
1291,"All Female","Travel",1
1292,"All Male","Forage",1
1293,"All Female","Forage",1
1294,"All Female","Travel",1
1295,"All Female","Forage",2
1296,"All Female","Forage",1
1297,"All Male","Rest",1
1298,"Mixed","Travel",2
1299,"All Male","Forage",1
1300,"All Female","Rest",1
1301,"All Female","Forage",1
1302,"All Male","Forage",1
1303,"All Male","Forage",1
1304,"All Male","Forage",1
1305,"All Female","Forage",1
1306,"All Male","Forage",1
1307,"All Female","Rest",1
1308,"Mixed","Travel",2
1309,"All Female","Forage",1
1310,"All Female","Travel",1
1311,"All Male","Forage",1
1312,"All Male","Forage",1
1313,"All Male","Forage",1
1314,"All Female","Forage",1
1315,"All Male","Forage",1
1316,"All Female","Forage",1
1317,"All Male","Forage",1
1318,"All Male","Forage",1
1319,"All Male","Forage",1
1320,"All Male","Forage",1
1321,"All Female","Forage",1
1322,"All Male","Rest",1
1323,"All Male","Forage",1
1324,"All Female","Rest",3
1325,"All Male","Forage",1
1326,"All Male","Forage",1
1327,"Mixed","Forage",3
1328,"All Male","Forage",1
1329,"All Female","Forage",1
1330,"All Male","Forage",2
1331,"All Male","Travel",1
